Text,Classification
add easy access system file storage for each website,1
management icon in quick settings should displayed for managed users,1
cannedbrowsingdatacachestoragehelper add never called,1
cachestorage doesnt respect cookie content setting,1
need way discard saving source information while downloading file,1
user report non stop bt discoverability notification on every boot,1
provide transparency when updates are blocked by admin,1
login lock screen enterprise disclosure,1
org chromium browser preferences privacy clearbrowsingdatapreferencestest testimportantsitesdialog flaky,1
locked chromebook shows content of user session,1
deleted history still exists in getupdates response on ios,1
hyperlink auditing ping attributes dont have clear indication of activity as recommended by spec,1
animation for clear browsing data not smooth,1
when serviceworkerimportedscriptupdatecheck enabled clearsitedataduringserviceworkerupdate fails,1
consider disabling hyperlink auditing when js disabled,1
consider adding policy enable mac address randomization for wifi,1
automatically connect network on off affecting all known remembered networks,1
many privacy settings lacking explanation,1
shadercache deletion broken,1
suggestion for clearing autofill form data,1
clear browsing data in incognito mode,1
cbd passwords counter improvements,1
deleting inline search query suggestion doesnt cause refresh,1
file attrs cleaner tool preventing arc mount from being unmounted,1
after full disk wipe also clear eventlog,1
report full disk wipe result users,1
chromevox exposes browser text from locked screen,1
policy configured wallpaper displayed in guest mode non managed user sessions,1
sitesettingscountertest countwithtimeperiod fails on android,1
security possible ip disclosure by choosing file for upload,1
hello google please fix its so important,1
clear browsing data dialog spinning indefinitely,1
see how much data you saved appears but im not using data saver,1
non top frame can request notification permission,1
top level origin cookie content settings dont work correctly,1
cookie storage access for first party frame inside third party frame inconsistent,1
sandboxed iframe can request download multiple files without user activation,1
speed speed of chrom when clear history at smart phone asus max pro m1 with os android pie,1
measure usefulness of history page with time,1
security password manager access bug,1
google password intrusion bypass,1
outdated content in privacy whitepaper,1
autofill string in sync settings does not provide enough information make informed decision,1
time range selection requires extra tap,1
cookie settings from regular mode cant reset in incognito,1
web locks allow communicate between different tabs when cookies are blocked,1
cookie controls bubble doesnt announce text when switching state,1
autocomplete filling hidden forms,1
lock screen media controls show after lid close open,1
browsingdatalocalstoragehelpertest deletesinglefile flaky,1
gyroscope api can used record audio,1
add link cookies in use dialog cookie controls,1
settings sitedata doesnt load,1
improve cookie controls ui ios,1
clearing history on videodecodeperfhistory takes more than 180s finish on android,1
mediacache folder still exists,1
browser crash seen when we click on clear browsing data in settings page,1
managed by settings icon doesnt show up on incognito ntp when enabling 3p cookie blocking,1
move canmakepayment toggle payments settings subpage,1
unable use legacy browser support in incognito mode,1
handle cookie controls mode preference when third party cookie blocking configured through extension,1
collection of issues capture changes required user sign up process comply with gdpr,1
new popup for showing policy links guests,1
add workflow for allowing users agree policies,1
implement request interface for mod assign,1
implement providers for non data blocks,1
implement providers for mod quiz,1
confirm subsystems without paths can skipped,1
implement providers for mod choice,1
implement core privacy for repositories core repository,1
implement all actions for site policy handler callback,1
implement core privacy for calendar types,1
connect data privacy tool subsystems manager facilitate data export,1
implement core privacy for message airnotifier,1
add bypass for protected state when deleting user data,1
use context children based method retrieve list of course blocks,1
allow configuration as who can download sar data,1
write web services service sars,1
implement providers for core portfolio portfolio xx plugins,1
abstract static methods used in core privacylocalsitepolicyhandler,1
improve sorting of tours,1
implement provider in dataprivacy tool,1
incorrect namespace in plagiarism privacy provider,1
extend link subsystem calls allow components specify privacy fields when linking,1
implement core privacy for core calendar,1
hide policies agreements profile link all users,1
use modal window in acceptances page for displaying policies,1
inconsistent page return after data request,1
guardian of minors from non eu countries,1
remove context system restriction when storing user prefs,1
use modal window display acceptance on behalf,1
allow bulk accept on behalf,1
privacy policies category in site administration added for admins only,1
section error thrown if site policy handle core access tool policy,1
add cache for purposes,1
change default age of digital consent according current legislation on each country,1
tool dataprivacy page breaks when loaded with clean theme on 3 3,1
set status draft inactive policies,1
implement core privacy for message email,1
incorrect restrictions in helper delete export when called from mod,1
missing polyfill for plagiarism provider interface,1
merge data privacy settings links common privacy policy admin tree branch,1
add global enable disable delete expired contexts according data registry,1
php notice when configured use missing site policy handler,1
implement core privacy for message jabber,1
implement core privacy for message popup,1
privacy officer follow up,1
policy settings site policies site admin ui confusion,1
allow admins confirm which expired contexts should deleted,1
implement core privacy for block rss client,1
tool dataprivacy exports as wrong user,1
add sanity check when calling export user data,1
bug in unit test provider customfiles files confusion,1
missing string for cache definition in tool policy causes unit test failure,1
implement provider for tool monitor,1
implement privacy provider for core user,1
minor fixes metadata types addition of core method for retrieving null provider reason,1
implement core privacy for tinymce plugins,1
implement core privacy for antivirus,1
implement core privacy for text editors,1
implement providers for block community,1
allow admins confirm which expired contexts should deleted ui part,1
honour protected purposes during deletion requests,1
implement core privacy for core blog,1
implement core privacy for report progress,1
tool policy not clear from ui manager parent can agree policies by clicking on red cross,1
implement core privacy for report completion,1
when saving policy as active or creating new policy current user requested accept policy,1
tool policy add more behat tests,1
implement core privacy for dataformat plugins,1
implement providers for auth manual,1
invalid null return in privacy types,1
core tag typo in privacy lang string,1
tool policy do not display select column if there are no checkboxes,1
create unit test check all components implement something,1
create unit test check all components,1
implement core privacy for mod feedback,1
implement providers for core notes,1
prepare tool policy for integration in 3 5,1
tool policy thirdpartylibraries are defined incorrectly,1
implement core privacy for fileconverter unoconv,1
implement privacy api for tool policy,1
tool dataprivacy using non existing method,1
implement core privacy for auth plugins not oauth2 manual,1
make tool dataprivacypage helper more generic,1
split out manager get components list into core function,1
implement core privacy for core competency,1
implement core privacy for fileconverter googledrive,1
implement providers for report components,1
implement providers for auth oauth2,1
avoid using output in tool dataprivacy adhoc tasks,1
address travis failures in tool dataprivacy,1
implement core privacy for admin tool components,1
implement core provider for availability plugins,1
implement core privacy for filters,1
ability discard expired contexts,1
implement core privacy for core cache cachestores etc,1
include tool dataprivacy in core,1
tool policy decide when versions can deleted,1
require user log in before being allowed download exported data,1
implement core privacy for media plugins,1
implement core privacy for webservice plugins,1
implement core privacy for mod workshop,1
visiting data registry page with clean theme in 3 3 throws error,1
same heading appearing twice on data privacy pages,1
implement core privacy for enrol plugins not lti paypal,1
implement core privacy for course format plugins,1
implement core privacy for assignment plugins,1
implement core privacy api for core message subsystem,1
implement core privacy for lti all subplugins,1
enable contexts added without sql,1
provide means for privacy officer set lawful basis for defining purposes for collection of personal data,1
implement core privacy for mod data datafields,1
plugin lets you accept site policies when you logged in as someone else,1
incorrect arguments passed,1
implement providers for tool mobile,1
implement providers for core register,1
implement providers for core my,1
implement core privacy for core media,1
notify in lib upgrade txt mod upgrade txt about privacy api,1
implement core privacy for core grading gradingform guide gradingform rubric,1
implement core privacy api for gradeexport,1
implement core privacy api for gradeimport,1
delete users for deletion requests expired context user,1
implement core privacy api for gradereport,1
implement core privacy api for core rss,1
implement core privacy for mod scorm,1
myoverview block incorrectly implements privacy api,1
implement core privacy api for datapreset imagegallery,1
implement core privacy for mod survey,1
warn when downloading gdpr export over http,1
implement core privacy for profilefield plugins,1
privacy tests override or report invalid data,1
implement core privacy for tool recyclebin,1
implement core privacy for mod wiki,1
implement core privacy for tool profiling,1
core privacymanager plugintype class callback does not use full frankenstyle name,1
implement core privacy for tool cohortroles,1
implement core privacy for booktool plugins,1
policy plugin still refers capability been dropped,1
implement core privacy for mod chat,1
implement core privacy for mod lesson,1
implement core privacy for profilefield checkbox,1
implement providers for mod glossary,1
implement core privacy for tool assignmentupgrade,1
implement core privacy api for core cohort,1
files directory inconsistent in content writer,1
implement providers for block comments,1
determine implement privacy support of short lived chat data,1
implement core privacy for profilefield datetime,1
implement core privacy for core grades,1
lawfulbases field throwing error on dataprivacy upgrade,1
auto select new purposes categories,1
expand data registry usage information help,1
data protection officer cannot change pending status on other enquiries,1
implement core privacy for course,1
implement core privacy for profilefield menu,1
restored courses should restore backup purpose category,1
implement core privacy for profilefield text,1
core comment implementation does not handle deletion correctly,1
blank sensitivedatareasons causes undefined property,1
implement core privacy for profilefield textarea,1
implement core privacy for core userkey,1
extend core privacy testsuite check database table exists,1
wrong string used in function transform date meaning no date displayed,1
implement core privacy api for mod imscp,1
adapt tool policy avoid travis errors on github plugin project,1
implement providers for mod book,1
use json unescaped unicode for data export,1
change policy agreements once policies has been accepted,1
exporting user tags exports too much for tag instances not enough for tags,1
error after accessing data deletion request for another user,1
data registry set defaults edit buttons should next each other,1
link core userkey subsystem from core rss when implementing core privacy provider,1
implement core privacy for core filters,1
implement providers for enrol paypal,1
add error handling for exports deletes,1
implement core privacy for tool log subplugins,1
implement providers for core hub core publish,1
implement core privacy for completion component,1
tool privacy impossible define provider for core subsystem without directory,1
make sure every table in lib db install xml has core subsystem responsible for,1
gdpr export my personal data gives empty zip file user with no files information,1
page context was not set error when accessing policy viewall php,1
implement core privacy for core badges,1
implement core privacy for mod assignment,1
web service auth email signup user not setting correctly policyagreed 1,1
data privacy order of entries in requests overview paging,1
confusing privacy policies settings move,1
implement core privacy for core fileconverter,1
data requests should sorted by ascending status request date,1
data requests page not paginated filtered or sorted,1
implement core privacy for tool messageinbound,1
implement core privacy for core analytics machine learning backend plugins,1
move recordset loop export one location as helper,1
rss subsystem incorrectly implements core privacylocalrequestpluginprovider,1
remove unnecessary emptiness check in delete data for all users in context,1
implement providers for block recent activity,1
implement core privacy for core files,1
implement core privacy for core webservice,1
export fails if some of paths has more than 255 characters,1
implement core privacy for core block,1
revisit privacy provider of block tag flickr,1
user picture visibility,1
implement core privacy for core auth,1
implement core privacy for mnetservice enrol,1
implement core privacy api for core access,1
implement core privacy for mnet,1
implement core privacy api for core availability,1
implement core privacy for auth mnet plugin,1
cron task fails on data privacy related task when admin directory renamed,1
empty row being shown in users policies page,1
add policy link site footer,1
expired users deletion process should include call core privacymanager delete data for user,1
confusing data protection officer role mapping setting,1
admin tool dataprivacy mydatarequests php for admin shows other user requests,1
privacy refactor user profile field providers properly define subsystem plugintype relationship,1
implement provider for core backup,1
make site policies required or optional distinguish on user acceptances page whether consent was not yet given or refused,1
implement privacy provider for core admin,1
implement provider for core form,1
implement providers for core group,1
enable json mime type by default avoid loose extension with long filenames,1
implement core privacy for core antivirus,1
backup provider located in weird location,1
purpose of summary in tool policy,1
if backup data contains information of user has asked deleted we should not restore,1
add back button from viewall policies page,1
use singular plural form of labels when revoking consenting policies on behalf of user,1
add link from policies agreements page privacy officer contact form,1
validate subsystem in link subsystem,1
enrol meta export delete groups,1
enrol cohort export delete groups,1
followup revisit portfolio determine which modules should link via link subsystem,1
subsystems without directories should not flagged in plugin registry,1
confusing contact dpo modal window,1
error when exporting competencies from privacy api,1
recordset not closed in core privacylocalrequestcontextlist add from sql,1
performance fixes for some providers,1
sensitive personal data processing reasons can not removed once added,1
new user accounts cant created when force auto guest login,1
add information on requests details table about who made data request,1
random unit test failures with core message provider testcase,1
review fix display of tables in tool dataprivacy,1
remove button overlaps when purpose title too long,1
data exporter does not recover from failure,1
export files belong user in different file areas based on userid field in files table,1
user cannot cancel data request made for them,1
user selector should only shown for users children when making personal data requests mydatarequests php,1
consent page hasnt blocks with clean theme,1
random fail in enrol lti privacy provider testcase,1
logstore standard provider names incorrect table in metadata,1
user preferences table missing from core user metadata,1
scale scale history missing in core rating,1
role sortorder missing from core role provider,1
implement core provider,1
enrol flatfile implements wrong provider,1
mod forum implementation does not check coursemodule matches,1
some plugins do not check context in delete data for all users in context correct context for them,1
quiz deletion does not check id properly,1
add missing tool policy versions privacy provider,1
privacy when setting retention period lang strings are set lower case,1
revisit block deletion for user contexts,1
tool privacy export request email comes from user without name,1
glossary module can leave orphan records behind,1
scorm privacy provider should export also information such as name or intro,1
mod lti privacy provider should link external,1
user id being displayed when data request creation for others fails validation,1
create behat tests for data privacy tool,1
glossary data privacy export isnt correctly matching glossary modules,1
failing tool dataprivacy expired contexts testcase test expired course related contexts in windows + oracle,1
fix boost privacy provider,1
add filtering plugin privacy compliance registry,1
plugin privacy registry add search option for lengthy page,1
privacy data request export format,1
policy plugin problem when guests attempt create account,1
add multi language support,1
add icons policy aspects,1
gdpr data requests page needs order by date,1
privacy php export user data functions are using hard coded language labels,1
control availability of sar downloads,1
request delete forum data for user delete files of all users,1
ask agreement net privacy policy during registration or upgrade,1
rubrics do not consider fillings table,1
allow admins dpos make subject access requests on behalf of users,1
scripts in html of privacy policy notices are cleaned but we need use them,1
need scroll through privacy policy two times before accepting,1
allow devolved selection of purposes categories,1
add ability configure data registry use module type defaults,1
make data registry available users,1
export data in plugin registry in sar,1
make plugin registry available more publicly,1
provide summarised read only view of data registry configuration,1
look at support for rolling deletion,1
support different retention for different roles in purpose,1
requirements analysis alternative course end date when calculating retention,1
requirements analysis allow support for plugins define default policy,1
add support for data deletion of existing deleted users,1
improve bulk deletion,1
web services cant called after major policy change,1
deleting user data from block html with privacy api crashes at least with privacy api test utility,1
enrol paypal error when calling enrol paypalprivacyprovider get contexts for userid,1
unable reset submitted unapproved sars after plugins are updated installed,1
data deletion list unusable for large amounts of data,1
data requests request date column should include time,1
admin misinformed there are no data requests,1
processing deletion request by user deleted meanwhile throws exception,1
data requests stuck on pre processing,1
allow plugin developers declare processes their plugin enables,1
privacy core tag provider delete item tags function not work,1
page admin tool policy viewall php empty if you are not logged in,1
gdpr data export length of file folder name problem,1
gdpr issue user policies error,1
comments table in db has no indexes,1
data export download links dont expire,1
page admin tool policy viewall php empty if you are not logged in,1
data request exception plugin tool log,1
assignment cutoffdate allowsubmissionfromdate are not exported,1
admin privacy tool pages have no breadcrumbs,1
transform datetime transform time should export more data,1
core question privacy provider testcase makes assumptions coderunner breaks,1
tool policy does not show popup for users who are not logged in not logged in as guests,1
user ip not removed when user deleted,1
user deletion not gdpr compliant personal data not deleted lastip,1
age of consent verification for uploaded users,1
not clear on data retention when deleting user,1
display audience at viewall php page,1
data protection office cannot reply other enquiries,1
user accounts forum threads are not anonymised after deleting personal data,1
gdpr data export never completes,1
gdpr user delete process,1
users cant find where request account deletion,1
privacy api deletes primary admin account,1
tool policy behat failure,1
tool dataprivacy unit tests have data created in provider,1
data privacy requests can fail validation with unhelpful information for user,1
improve data request order for users,1
missing upgrade php file on tool dataprivacy may cause errors when upgrading from 3 3 or 3 4,1
data requests should note site of origin in email notifications,1
paypal enrolement data processing breaks gdpr,1
allow terms conditions agreed before showing privacy statement,1
add function delete data requests,1
user can only see second policy document when agreeing policy documents,1
admin tool policy tests behat consent feature random fails,1
random behat fail on tool policy,1
user agreements page cant interacted anymore once consent modal gets closed,1
should not possible close privacy policy information on frontpage by clicking button in right top corner,1
add bulk actions privacy request table,1
final deprecation of gradingform provider interface,1
site dpo doesnt check for any capability seems should,1
name overflow on purpose deletion modal,1
rubrics do not consider fillings table backport of mdl 62535,1
tool policy changes are not stored in configuration setting report,1
check core in policies plugin prior during upgrade,1
handle correctly when module doesnt have privacy support,1
user expiry does not work as should,1
policy management assignment apply policies users through cohort selection,1
random unit test failures with core message privacy provider take 2,1
extend privacy api support multi user operations,1
support for per role deletion in dataprivacy tool,1
add support for removal of context users multiple components,1
add support for removal of context users core group friends,1
improve user data retention summary show individual modules as belonging activities,1
add support for removal of context users core notes,1
add support for removal of context users cachestores,1
add support for removal of context users portfolios,1
add support for removal of context users core question + mod quiz,1
display core userlist validation in data registry,1
add support for removal of context users profilefield checkbox,1
add support for removal of context users profilefield datetime,1
comment does not provide way for other components fetch users data,1
add support for removal of context users profilefield menu,1
add support for removal of context users profilefield text,1
add support for removal of context users profilefield textarea,1
add support for removal of context users mod quiz,1
inheritance does not work as should,1
add support for removal of context users tool cohortroles,1
mod quizprivacyprovider get contexts for userid error when no quiz attempt,1
forum provider not deleting data for users who did not create discussion,1
add support for removal of context users enrol paypal,1
add support for removal of context users core fileconverter,1
add support for removal of context users core files,1
erroneous query in enrol paypalprivacyprovider get contexts for userid,1
add support for removal of context users enrol flatfile,1
add support for removal of context users enrol lti,1
add support for removal of context users tool messageinbound,1
add support for removal of context users tool mobile,1
add support for removal of context users tool monitor,1
unit test failure content writer test test export user preference unescaped unicode with data set unicode ���2����������4¿��5����aa��0�¡§�,1
add support for removal of context users tool policy,1
add support for removal of context users mod choice,1
methods in tool cohortroles provider should limit data cohort context,1
add support for removal of context users fileconverter googledrive,1
random redirection during policy agreement signup,1
add support for removal of context users ltiservice gradebookservices,1
add support for removal of context users ltiservice memberships,1
add support for removal of context users mnetservice enrol,1
repeated elements do not work in ajax forms,1
add support for removal of context users mod workshop,1
add support for removal of context users core analytics,1
add support for removal of context users core role,1
add support for removal of context users core message,1
add support for removal of context users core,1
make data retention summary link in footer removable,1
add support for removal of context users core competency,1
contact dpo link in user profile not aligned,1
when attempting sign up for account you are returned age location verification page,1
performance improvement for get users in context,1
some get users in context docblocks are incorrect,1
oracle unit test failures assignsubmission comments privacy testcase,1
add missing unit tests for tool dataprivacy provider,1
initiate data request task fails if tool unconfigured,1
structural improvements in tool dataprivacy,1
improve flow of automatic creation of delete data requests when deleting users,1
remove preprocessing stage from gdpr operations,1
course context children not properly checked,1
disable notifications for automated sars,1
add unit test ensure userlist compliance,1
rename site admin links,1
shared data provider should have shared userlist,1
fix url in logo of data export html file,1
add support for removal of context users block recentlyaccesseditems,1
disable delete existing users task by default,1
summarise sars from deleted users,1
incorrect filename in plagiarism provider,1
improve unit test creation of purpose category,1
add support for archival of old data requests,1
sometimes deletion data requests fail because of invalid simple key in cache,1
add support for removal of context users core favourites,1
export all my personal data privacy request creates files in webserver document root,1
bootstrap loaded from cdn for privacy exports fragile,1
data request grade provider creates long running query,1
user delete request status switches from confirmed rejected,1
move favourite conversations from system context,1
gdpr data request immediately rejected status upon approval,1
data privacy export low on several processes,1
invalid user error shows on data requests page,1
very inefficient query in grade provider mysql,1
check update privacy provider queries improve performance,1
problem with long file names zip archives under windows,1
gdpr export context paths can very long not unique,1
cron not running missing checkboxes on data requests page,1
gdpr mechanism for restricting delete requests,1
gdpr new request form user search not using configured fields,1
privacy add sql fails with distinct query with brackets,1
gdpr data deletion deletes guest account,1
data request processing dies with exception call member function fully expired on null,1
gdpr data deletion course deletion,1
gdpr content writer can cause endless loop,1
data export download zip cant opened by windows,1
privacy accessibility review,1
action menu doesnt work on data request page solved,1
data request processing throws error,1
deleting unconfirmed users in cleanup task creates invalid data requests when create automatic data deletion requests setting enabled,1
personal data export dies after exhausting all available memory,1
tool dataprivacy doesnt filter multilang tags within site fullname,1
badges does not include related data in privacy export,1
privacy api delete data for user function in oauth2 mnet exit early,1
admin user can gdpr delete themselves even when they are only site admin,1
exception occurred while calling editor attoprivacyprovider export user data,1
removing option for notes at site context,1
performance improvement for get users in context take 2,1
inactivating tool policy policy puts users into infinite loop upon following login,1
empty htmleditor user preference causes debug warning in privacy export,1
error while calling core blogprivacyprovider delete data for user,1
digital age of consent country age map agedigitalconsentmap update,1
user can send message data protection officer,1
user can request copy of their data,1
clone user can send message data protection officer,1
clone user can request copy of their data,1
user can request for their personal data deleted,1
clone user can request for their personal data deleted,1
user can request personal data on behalf of another user,1
clone user can request personal data on behalf of another user,1
clone user can request personal data on behalf of another user,1
admin can delete user all their data,1
clone admin can delete user all their data,1
clone user can request personal data on behalf of another user,1
clone admin can delete user all their data,1
from wikipedia page government arguing sunken costs necessity for government interception transitioning from bluetrace enf presented several issues most notably as app cannot run both protocols simultaneously 107 any protocol change would hard cut between versions would result in app no longer functioning for any users who had not yet updated enf of app additionally two protocols are almost completely incompatible 81 80 meaning vast majority all but ui of covidsafe app would have redeveloped similarly because of change from centralised reporting mechanism decentralised one very little of existing server software would usable 108 role of state territory health authorities in process would also change significantly as they would no longer responsible for determining contacting encounters 108 change would involve retraining health officials penning new agreements with states territories up until at least 18 june 2020 dta was experimenting with enf 109 however in interview with project held on 28 june 2020 deputy chief medical officer dr nick coatsworth stated covidsafe would absolutely not transition enf 110 he reasoned government would never transition any contact tracing solution without human in loop reporting 111 112 something no decentralised protocol can support how likely we see issue resolved as seems closer never than probably,0
covidsafe support i noticed code for v1 8 was published today became available in app store short while later although code in centralcontroller has changed i do not believe issue fixed re iterate wabzqems quote from documentation attempts connect peripheral don t time out ref additionally didfailtoconnect event only called if transient error occurred during connection so cleaning up there doesnt help apples documentation says manager invokes method when connection initiated with connect options method fails complete because connection attempts don�t time out failed connection usually indicates transient issue in which case you may attempt connecting peripheral again ref so its not clear how new code can fix issue but just really sure i used almost same scenario described in my earlier post but with covidsafe rather than nrf connect on test phone carefully shielded from out of range of other devices with empty payloads i have fake covidsafe peripheral changes its mac after every connection after 200 connections became unable make further connections other apps similarly become unable connect other devices terminating relaunching covidsafe or turning off on bluetooth made resume was able reproduce several times on one occasion i let stay in stuck state for over 45 minutes was not able recover on its own i suggest adding some sort of timeout any locations in code call connectperipheral wabzqem do you have suggestion on best way implement,0
hi jimmo thanks for issue report actually issue we picked up in internal testing not long before you posted we are currently working on fix well keep issue open track progress let you know when we believe we have released fix,0
hi c19x just clarify i should have said shutting down relaunching covidsafe immediately restores heart monitor connections not restarting although restarting iphone also works we also note toggling bluetooth off on in system settings did not help,0
we also concur with wabzqem covidsafe consuming limited bluetooth resources unnecessarily when attempts reconnect with peripherals other covidsafe instances are history when our fitness app cannot connect bluetooth heart monitors logs show waiting for didconnect callbacks from central simply shutting down restarting covidsafe immediately restores heart monitor connections we have verified numerous times in home office where covidsafe should definitely not have pending connections centralcontroller swift line239 surely bug would also limiting covidsafes performance effectiveness perhaps you could simply timeout pending connections as we do,0
almost certainly cause of covidsafe causing some maybe not all issues with connections apple watch other devices i noticed device disconnects occurring more frequently when 1 2 was released when bug was introduced but assumed was because app was connecting more as first background bug was fixed now i realise its probably because bug was introduced at same time with assumption based on what wabzqem describing above covidsafe ending up in state where has lots of in progress pending connections i was able make demo using two popular ble scanner apps nrf connect ble scanner could show how explains commonly reported issue covidsafe interfering with other devices using whatever means make nrf connect find 100s of devices e g device changes its mac every second or something initiate connection each of them each device stuck in pending state assumed same as what covidsafe doing as described above try connect different device from ble scanner past some number of pending connections in nrf connect ble scanner unable connect force quit nrf connect ble scanner immediately able connect other device,0
hi wabzqem thank you for bringing our attention were currently looking into update issue when we have more information,0
i came exactly same conclusion as jimmo after reading diff i dont believe issue fixed i would recommend keeping track of peripherals are being connected with connect peripheral cbperipheral options string any = nil remove from set when centralmanager central cbcentralmanager didconnect peripheral cbperipheral called then explicitly cancel remove any connections have been in set for too long you may need use other bluetooth callbacks trigger cancellations as doing in background otherwise may tricky comment in diddisconnectperipheral error may represent peripheral out of range bl off etc in case we dont want retry probably misguided as soon as exchange made peripheral quickly disconnected so run with nil error function wont run when pending connection peripheral out of range as its never connected begin with,0
hi benos5000 thanks for raising we are working with apple google as they develop contact tracing technology could enhance covidsafe application when appropriate we communicate how covidsafe application can leverage technology,0
looks good me ive been running since updating on monday afternoon i havent had disconnect others on twitter whirlpool etc see same great improvement,0
was ever merged i did some experiments found walking around inner city could absolutely swell up dictionary rather huge size its those inner city walkabouts are where app most needed function correctly,0
hi yaakov h thank you for bringing our attention backlog task has been created look into we update github issue if we have progress report or need any clarification,0
you wouldnt have deny entry its just another tool business could use track people entering if they wanted if was all integrated into covid app would make life so much easier just idea anyways take or leave,0
you use bluetooth track their unique id so then you can trace back who they have been in contact with so just make when you scan qr code literally just inserts new record you have been in contact with venue same as if bluetooth tacked theres no law changing or anything needs happen just build feature move on most people would like if not then they wont have use potential downside someone who dislikes app or wants cause trouble can ddos contact database by sharing qr codes on internet so they can scanned without actually visiting venue why i think qr code should not directly related contact tracing function why i propose use qr codes for something more more benign such as proof of authenticity of app,0
dear rizidis you are entirely correct pending connects serve limited purpose for reconnecting ios central ios peripheral if devices are not reconnected within few minutes as ios peripheral referenced under new peripheral identifier after about 20 30 minutes of being idle i e going out of range same also true for android peripherals albeit period usually longer indefinite pending connect only meaningful for ios central reconnect devices with fixed identifier like door lock example in apple doc regular housekeeping remove pending connections have been inactive for some time good idea not entirely sure why these pending connections are impacting your fitness app tho would shutting down covidsafe not restarting restore your apps connections or does have include restart,0
hi wabzqem just letting you know we believe we have implemented code in 1 9 ios release which addresses issue you outlined with scannedperipherals dict pr closed as fix for was merged in with 1 9 release code thanks again for your pr,0
hi jimmo just letting you know we have released v1 8 of covidsafe for ios which should have addressed mtu issue please let us know if you believe otherwise thank you again for reporting issue,0
appears fixed as of v1 9,0
hi mrboffin thanks for suggestion weve added our backlog look in further,0
hi stragu thanks for suggestion weve added our backlog look in further,0
you use bluetooth track their unique id so then you can trace back who they have been in contact with so just make when you scan qr code literally just inserts new record you have been in contact with venue same as if bluetooth tacked theres no law changing or anything needs happen just build feature move on most people would like if not then they wont have use,0
hi wabzqem just letting you know we have released v1 9 of covidsafe for ios which should have addressed issue please let us know if you believe otherwise thank you again for reporting issue,0
dear covidsafe ive created solution supports constant background scanning device proximity tracking on ios android solution does not rely on keeping iphone unlock using black screen reduce power usage acts like ordinary app where user can background app use other apps lock phone indefinitely while continues detect track other beacons contact tracing app work on 81 56 of devices globally without software upgrade latest does not rely on google + apple api as i fear many users wont or cant upgrade their os thus only work on theoretical maximum of 76 98 of devices today bluetooth beacon underpinning solution work on 98 74 of devices globally june 2020 can even handle android devices can only act as central not peripheral e g samsung j6 please take look at scan connect read disconnect pendingconnect|scan approach in covidsafe on ios fail when both devices are in background state i e app not in foreground device locked which norm they simply wont detect each other until one of them comes foreground try following failure condition 1 iphone b in separate faraday bags i e out of range of each other take out install start app on move app background lock device place back in faraday bag take b out install start app on b move app background lock device place back in faraday bag wait 30 minutes equivalent two isolated users installing their app venturing out later take b out they wont detect each other until either or b brings app foreground failure condition 2 6 continuing from 5 now b are together detecting each other 7 move app on b background lock devices place in faraday bag 8 wait 30 minutes equivalent two people meeting then going out of range of each other for while 9 take out of faraday bag they wont detect each other until either or b brings app foreground other related issues have been investigated solution has been developed documented for sharing please take look at best regards good luck,0
for venues are currently require customers record contact details in log book for visit its reasonable give exemption for people who have app installed doing way does not contravene law probably only requires change in regulation of relevant state qr code should only identify software as being legitimate not fake screenshot perhaps also of software should not contain any information identifies user,0
i often have problems connecting my bluetooth heart rate monitor my iphone apps polar beat garmin connect normally resolved by closing covidsafe not great scenario given times im using my heartrate monitor when im leaving house should running covidsafe,0
if so simple just write here unless youre trying extract money for which wont happen or dont want investigated most likely outcome,0
fantastic great move well done angus,0
legislation as passed would not allow because forbids any place deny entry if person does not have app installed not tech issue its legislation went along with app,0
hi wabzqem thanks for your pr we ve created item for in our backlog for our developers action we update pr let you know when we�ve made progress or if we have any questions,0
just add i installed 1 8 yesterday evening by 9am morning after going out my apple watch had disconnected wouldnt reconnect killing covidsafe opening again allowed watch connect again,0
hi jimmo thank you for bringing our attention backlog task has been created look into we update github issue if we have progress report or need any clarification,0
i guess new in 1 0 33 cause framelayout xmlns android= android layout width= 0dp android layout height= 0dp val zeroheightview = remoteviews context packagename r layout zero height view val builder = notificationcompat builder context channel setcustomcontentview zeroheightview looks like designed hide notification clearly does not work in normal case screenshot 1 seems cause display issue when notification pushed down screen screenshot 2,0
hi jimmo thanks for creating issue weve created backlog task look into well keep you updated in issue when we have any progress report or if we need further information,0
fixed in 1 0 39,0
original issue text i am saddened flippancy of response issue 16 i expressly said i have already repeatedly granted run in background permission so being directed faq describing how do was unhelpful point being im offering help resolve problem by whatever means necessary do you need me send you syslog,0
just say same issue manifests slightly differently on my pixel 3a when screen locked bottom notification from other apps obscured irrespective of how many there are eg if there only one notification its obscured or second of two etc small icon shows at bottom of drawer when its being pulled up as saalkom described no covidsafe notification shows when screen unlocked covidsafe icon shows in notification bar when phone unlocked like all my other notifications but no actual notification shows when i pull down drawer when phone unlocked small icon behaves same as when locked edit update just clarifying as with others whove described these issues only occur when bluetooth enabled when bluetooth disabled everything normal covidsafe notification shows in app drawer when unlocked on lock screen all other notifications display normally ive attached couple of screenshots of notifications being obscured as displays differently others who have posted,0
