Text,Classification
we should prompt user at registration whether they want bind their 3pid or not we used do in console with checkbox from privacy perspective we should do in riot also somehow we may also want give ises way publish their terms of use let user confirm they really want use,0
new pull request aims include rigorous verification process for privatefrom field in private transactions pr description highlights change essential demands orion version 1 6 or higher fully functional additionally developers have warned continuous integration ci build associated with pr not work until orion version 1 6 officially released,1
use r0 apis for privacy features when hs supports spec version as per msc2324 on how ship spec dependent things we should change `r0` api prefix when server advertises spec version includes feature for privacy means updating how we handle feature flags spec versions change prefix when spec version appears,0
use nicer apis for toggling 3pids shared status at moment when toggling 3pids shared status riot 1 remove 3pid from hs with `post matrix client r0 account 3pid delete` 2 re add 3pid via hs with `post matrix client r0 account 3pid email|msisdn requesttoken` setting `bind` flag new status 3 usual 3pid validation adding flow not great in general as its not atomic so if you never act on validation token then you have actually entirely removed 3pid from your account instead we should change new apis tracked in change 3pid from unshared shared 1 call `post matrix client r0 account 3pid email|msisdn requesttoken` setting `bind` flag new status 2 usual 3pid validation adding flow change 3pid from shared unshared 1 call `post matrix client r0 account 3pid unbind`,0
feat apertium translate adds option use which can self hosted,0
feature second order shuffling can serve as starting point for implementing optional second round shuffling which massively boosts taint reduction robustness resistance sybils due complexity involved should strictly implemented after 68 72 or 73 in context of 72 we can establish three new buckets of coins 5 second shuffle output equal value outputs whose input came from 2 shuffled coins in shuffle transaction 6 second shuffle change variable value outputs from 5 7 second shuffle spend change leftover change from spending 5 when enabled wallets should only spend from 5 almost all time todo additional logic upgrade path,0
"method exclude some provider fields from response your feature request related problem please describe possible cities or third parties may not want or need certain fields returned describe solution youd like add option through api request allows some fields removed from response example solution could inclusion of new parameter e g `exclude` could have list of fields city does not want have returned in response if city didn√ó¬í√""¬Ç¬",0
private log filter implementation nan,0
pending user connection might leak information when user has requested connected another user connection not yet bi directional other user might already able see encircled posts of initiator,1
if you try turn off cashshuffle plugin after enabling similar when you mistakenly click on something or enter incorrect password you receive warning pop up pop up alert you disabling cashshuffle plugin on wallet previously had enabled could compromise your privacy for both shuffled unshuffled coins in wallet pop up give you option click no if you are not sure you want disable plugin depending on situation different responses occur if you manually disabled response revert back enabled if there was password failure you prompted enter your password again if implementing all of too complicated pop up can simply include i understand button instead of no option,1
settings ability change identity server means sdk x store identity server in account data 2665 x we should probably also validate its really todo x we should also somehow validate hs permits access if maintains whitelist todo app x settings add new identity server section x when we change well need fetch its policy docs capture user has agreed them x show warning if has no terms x make sure app can run without riot web issue,0
"fix private transaction chainid validation pr description √ó¬í√""¬Ç¬",0
while in midst of conversation with someone using riot on mac we stopped accept upgrade offered by platform my previous network connections had been unreliable with issues arising during recent attempted video call which ultimately ended up as only text chat i could type send messages but could not hear or see other party however they could hear see me seems issue may related recent update with possibility of riot transmitting audio video without any indication doing so its unclear whether problem has been ongoing bug or was triggered by network issues on my end or my switch from ethernet wifi as ive been using riot for some time without issue disconcerting think audio video may transmitted without any notice i am unsure how view log files but would willing share them in effort fix issue,1
for talk brave com make remember my decision dialog very prominent issue overtakes brave brave together 185 originally suggested we maintain allowed list of sites included talk brave com so user wouldnt have friction of having allow c for confabs nor confusion if they fat fingered response rather than make precedent for allowed list suggested permissions dialog very prominent im not sure what such design would entail but thats current thinking,0
improve unread messages notification format would great have unread messages notification pops up whenever theres new mail actually show subject line either sender or preview of mail instead of x unread messages automatically open expand mail when clicked instead of just displaying inbox way one wont have neccessarily click notification know what mail about,1
impossible disable privacy statement end user agreement describe bug on dspace 7 new feature has been added include privacy statement end user agreement some institutions do not want use these especially as users are forced accept end user agreement at their first login but there no configurable way disable them note there another ongoing issue about privacy statement end user agreement but more about providing better default text reproduce login for first time with user get end user agreement or click privacy policy or end user agreement links in footer expected behavior 2 new configurations should added in order allow repository administrators enable disable end user agreement enable disable privacy statement related work estimate 5 hours,0
block beyond 16 mute ignore block feature could prevent straightforward access plan content specifically listed blocked users blocked user gets 403 on trying read blocking users plan sends snoops are either prevented or ignored lebaer00 has more detailed spec ideas share,0
switch public contact ids non enumerable value follow up 8010 currently public contact id auto incremented which may allow attacker enumerate public contacts friendica node knows about allows list all node users even if local directory disabled or user accounts are marked as unsearchable,1
only set terms urls in account when they change at moment we set terms urls in account data for every terms flow even though nothing may have changed which causes syncs other clients leading unnecessary work on every device,0
password protected notes not sure if has already been requested but would pretty neat if there was locked notes feature where cant viewed you would need password of some sort access,0
qa re test all of identity server interactions js sdk was using url encoded forms which not supported fixes,0
manage integrations dialog fails with white screen if 3rd party cookies are disabled,0
fix 969 fixes `open image in new tab` button in private window opens image in normal tab change happened in browserviewcontroller swift inside openinnewtabaction alert action completion fixed bug 969 i also changed cartfile swiftyjson from 4 1 0 4 2 0 because i had issue building project with xcode log module compiled with swift 4 1 2 cannot imported by swift 4 2 compiler brave ios carthage build ios swiftyjson framework modules swiftyjson swiftmodule x86 64 swiftmodule test plan 1 open private window 2 long press on any image tap open in new tab button result image should opened in new tab in private mode,1
using pmt index on private logs tx index fixes 756 fixes 756,0
provider reports static explain pull request beta implementation of 569 special groups aggregate metrics issue adds reports endpoint within provider api handles returning monthly trip counts of special groups in case just low income groups response served up pre generated csv file of all data breaking change no not breaking new feature impacted spec which spec s pull request impact `provider` additional context see pr 606 for version dynamic not static like one,0
if you have feature request related problem kindly describe issue in clear concise terms for instance if you frequently feel frustrated when trying delete your browsing history from your indexdb please describe specific issue as well as solution you desire your description should also include any alternative solutions or features you have considered additionally you can add screenshots or any other relevant context help clarify feature request thank you for your input,1
priv gettransactionreceipt should include blocknumber blockhash description as application developer i want `priv gettransactionreceipt` include `blocknumber` `blockhash` in its return value so i can use filter logs starting after my contract was deployed or after another important transaction occurred `blocknumber` `blockhash` in private tx receipt correspond pmt,0
tutanota option automatically load images like protonmail does by default nan,0
ability disable all identity server functionality via config file from riot android created by manuroe vector im riot android 3248 riot web issue pr todo x make registration work without x make invite work without x disable adding threepids if no configured x disable password reset if no id server,0
check enclavekey matches privatefrom when calling one of following functions on onchainprivacygroupmanagementinterface function addparticipants bytes32 enclavekey bytes32 calldata participants external returns bool function removeparticipant bytes32 enclavekey bytes32 account external returns bool function getparticipants bytes32 enclavekey external view returns bytes32 memory function canupgrade bytes32 enclavekey external view returns bool before executing private transaction we need check first parameter enclavekey same as privatefrom,0
warning when disabling cashshuffle plugin similar 71 when clicking or at password failure resulting in cashshuffle status going from enabled disabled there should popup warns users potential text you are now disabling cashshuffle plugin on wallet had enabled spending linking coins may compromise your privacy for both unshuffled shuffled coins in wallet are you sure if no clicked ideally response differs according what happened before if manual disable reverts enabled if password failure password prompted again if complicated implement though dialogue can forgo no button just have i understand button,1
carshare support your feature request related problem please describe background ride report working with variety of carshare operators on mds looking develop spec support carshare specific use cases we have identified use cases flexible rates carshare rentals allow users rent vehicles by minute hour or by days currently mds provider shows vehicle rental per minute api consumers are unable differentiate between users who selected per minute pricing vs per day vs per hour fleet info carshare providers utilize variety of makes models of cars from sedans suvs from ice vehicles electric or hybrid powertrains all vehicles have different cargo passenger capacities would helpful get snapshot of providers fleet mix breakdown evaluate type of vehicles people are utilizing service area exit carshare mode inherently offers shared mobility users flexibility take different length distance duration trips would helpful get some sort of data about trip when exits service area in privacy preserving manner are cars going far away are cars going out of larger metro area are cars going out of state vehicle idle time cars sit idle take up substantial amount of space cities would like know how long cars sit idle on prow for variety of reasons understand utilization pricing loss parking revenue etc with mds provider we can measure how long vehicle sitting based on `unavailable` vehicle state however with carshare user can rent vehicle for up week at time there no state representing reserved vehicle parked other vehicle data odometer data aid in accuracy of trip metrics routing policy new policy capabilities are specific car share like parking parking policy refers specific signage i e 2hr zones instead of just geofences describe solution youd like tbd we are working on more formal technical proposal breaking change im not sure but become more clear as we determine technical solution impacted spec for which spec feature being requested `provider` `policy`,0
adds priv getcode pr description pr adds priv getcode contingent upon being merged otherwise its ready go fixed issue s,0
conduct study on potential of using tor network for wallet investigate client side techniques can used conceal users public data including their ip address preferable route all network requests through tor network within application provide detailed report on research findings in comments section,1
ability disable all identity server functionality via config file by setting default url empty string null or something,0
"add mds metrics api your feature request related problem please describe there currently no standard way retrieve metrics calculated from mds data `provider` or `agency` or define standard set of useful mds based data aggregations √6¬2√"" we have heard from omf community leads number of problems cities need number of clearly defined best practice metrics for operating measuring managing emerging micro mobility other transportation programs using mds data there currently no standard counting methodology mobility providers cities have agreed upon consequently causes friction when establishing new mobility program evaluating its impact cities need rely upon trusted data sources upon which perform longer term studies on citizen impact mobility providers need consistent rules measures between city deployments in order make their operations more scalable describe solution youd like proposed metrics api intended help users of mds both cities mobility service providers third party ecosystem services have standard way consistently describe available metrics create extensible interface for querying core mds metrics future metrics still defined √6¬2√"" should framework describe how different api users hosts can 1 define communicate available metrics 2 request these metrics across multiple dimensions filters 3 serve these metrics either external parties or other mds api consumers without requiring transmission of underlying raw data 4 ensure multiple parties can reliably reproduce same metrics given same data goal able define √ó¬í√""¬Ç¬",0
us 25 as author posts i create private only friends on my host nan,1
brainstorm ideas for health fitness data minimization anonymization what kind of data fields do we have how should could they by minimized or anonymized,0
make optional showing user in general rank como usuario quiero tener la posibilidad de no aparecer en el rank general comportamiento esperado que sea opcional aparecer en el rank,0
remove bind true flag from 3pid adds in settings nan,0
riot should check for r0 6 0 server support alongside feature flags avoid scenario where server stops advertising flags due spec release see related links i really just needed issue so i could slap privacy label on release blocker for privacy release not other releases,0
implement private set intersection cardinality add client side implementation for private set intersection cardinality even though does not work with current g library see for open source implementation,0
extract individual information from release schedule spreadsheet without any further annotations calculation of release plan unfinished no decision has been made yet based on other tickets uncertain if expression of interest pursued or not as depends on status of other tickets,1
refactor privacy precompiled contracts refactor two privacy precompile contracts signed off by stefan pingel,1
vulnerability of account correlation through simultaneous logins concern requires login control for each tab launch of electronmail leads all accounts being logged in simultaneously thereby creating identifiable patterns in login timings despite partially solving problem through stream isolation in issue 113 rather ugly workaround necessary due hard coded settings directory in regard each account requires separate settings directory script links home config electron mail relevant directory before login important ensure only one instance runs at time fix issue solution would offer setting logs out all tabs when electronmail launched requires login only when specific tab clicked,1
placeholder issue for mscs should land prior privacy release number of mscs are used without use of labs flag for privacy work we should ensure mscs exit fcp before cutting release or add bunch of labs flags or use unstable endpoints instead of versioned ones mscs are x x x x x x,0
implement custom suggestion bar using words from mnemonic dictionary,0
for privacy regulatory reasons may necessary for providers limit external access geolocalized data for trips made throughout city can achieved by making `route` field optional while still retaining access other valuable aggregated information such as distance cost duration despite change `route` field not breaking change as simply making previously mandatory field optional its important note pull request only impact providers spec not any others,1
invite doesnt force terms with older homeservers with older homeserver doesnt yet use v2 apis with terms such as synapse before riot wont trigger terms agreement when using ` invite` with email as just sends request synapse different riot code path from address picker invite ui flow as currently talks directly so riot can present profile info as part of autocomplete user via 3pid,0
flaky test legacyprivacygroupaddedtoqueryprivacygroupifnonlegacygrouphasbeencreatedbefore flaky test legacyprivacygroupaddedtoqueryprivacygroupifnonlegacygrouphasbeencreatedbefore probability occasional severity marginal,0
when selecting radio button send unshuffled coins there should clear warning remind user of risks involved spending unshuffled coins could lead reduction in privacy for incoming coins as well as potential compromise of coins from previous shuffles change from spending shuffled outputs would combined with incoming coins making difficult differentiate between them although there are long term solutions address issue user interface should discourage use of unshuffled coins in meantime possible message could please note spending unshuffled coins may compromise your privacy not only for new incoming coins but also for previous shuffles are you sure you want proceed,1
right panel widgets can remain alive unexpectedly originally noticed by harharlinks right panel widgets are no longer tearing down widget frame when unmounted so can remain running in background unrelated widget permission remain on screen happens for all widgets viewed in right panel,1
add self only acl block personal notes jot fixes 9140,0
terms modal prompt should appear without flash of integration manager portal first at moment when testing terms support from whenever we need display terms for im api following happens 1 im portal modal briefly appears for 1 sec 2 terms modal replaces with different content in differently sized box its bit glitchy feeling ux wise,0
"opt out flag for federated search engine there new federated search engine spiders through network collecting profiles posts there already convenient option for mastodon opt out of index but not for all other networks without blocking whole services or adding code into source code manually would nice if friendica 1 would have clickable option in preference for every user opt out on by default of search engines 2 maybe as well administrator option for whole node itself if administrator doesnt want have his node spidered at all as annando mentioned opens up possibility add mastodon pleroma contacts friendica directory btw having config value on mastodon possibly pleroma does open up possibility display contacts from these systems in our directory as well corresponding issue was raised add other networks like hubzilla mastodon pleroma diaspora description opting out there√ó¬í√""¬Ç¬",0
achieve local network privacy ping service needs rewritten current implementation of ping service involves use of `cfsocket` low level communications channel relies on bsd socket implementation necessitates access local network which can raise privacy concerns instead ping service should redesigned avoid executing any operation requires local network access local network privacy faq outlines what operations mandate type of access,1
initial privacy management contracts for on chain privacy pr description draft contains initial privacy group management contracts for on chain privacy fixed issue s,0
please add requirement for explicit consent driven by external privacy mandates directives policy organization name n if individual cms organization type 1 document 63 3 63a 63b or 63c 800 63a reference include section paragraph number section 4 identity assurance level requirements last para comment include rationale for comment please add requirement for explicit consent driven by external privacy mandates directives policy please add requirement for explicit consent driven by external privacy mandates directives policy such as omb memoranda m 17 06 m 10 22 m 10 23 omb circular 130 revised 2016 these all apply digital services inclusion of authoritative references provide authoritative driver behind stated requirements suggested change organization type 1 = federal 2 = industry 3 = academia 4 = self 5 = other,0
add toggle remove user location from report problem submissions report problem controllers should have switch on them says something like include my location help diagnose problem they should default on but user should able toggle off should sticky x add toggle stop problem x add toggle vehicle problem,1
"please include privacy controls with security controls wherever information security related controls are referenced organization name n if individual cms organization type 1 document 63 3 63a 63b or 63c 800 63b reference include section paragraph number section 3 definitions abbreviations attack remote section 4 1 1 security controls section 4 2 4 security controls section 4 3 4 security controls section 8 2 threat mitigation strategies section 10 usability consideration comment include rationale for comment please include privacy controls with security controls wherever information security related controls are referenced privacy controls must now integrated as required under omb circular 130 2016 agency required implement both security privacy related controls 1 √6¬2√"" √6¬2√"" √6¬2√"" √6¬2√"" √6¬2√"" without inclusion of privacy controls developer may miss vital changes in controls associated with inclusion of sensitive information weakens implementation increases risk agency suggested change organization type 1 = federal 2 = industry 3 = academia 4 = self 5 = other",0
project add new license nan,0
reason for encrypting authenticated action codes prevent any potential leaking of personally identifiable information pii which might contained in parameters like new email address currently these parameters end up in logs leading vulnerable situation address issue has been proposed derive two secrets from main django secret one for signing other for encryption allow code signatures computed using standard django secret while keeping pii secure,1
may necessary verify if firefoxs default setting should disable link prefetching focus of tc team specifically on speculative requests which may pose problem for main frame navigation in future address potential issue new privacy permission includes prompt may need introduced could make sense include permission when encountering 201 error even though ublock already has disabled prefetching by default its likely many tc users wont impacted by these changes,1
remove bind true flag from 3pid calls on registration nan,0
gdpr privacy stuff yeah thats europe platform must follow gdpr regulations may implement accept cookies delete account button as well,1
request add functionality enables obscuring of personally identifiable information pii before sent along with collected data currently pii may unintentionally make its way through data transfers when error message or stack trace generated or when user action referenced by name in logs or rum sdk mitigate issue necessary add option mask pii in both logs rum sdk,1
when you redact message has been edited only original message redacted while edited message remains unredacted by default edit events are concealed but if you have enabled feature show hidden events content of edited message still visible if you view source of edit event,1
use new backend apis for adding 3pid homeserver binding 3pid on identity server when they exist defined in x detect whether hs supports msc2290 look for unstable flag `m separate add bind` or api version `r0 6 0` x always show account 3pid section in settings even without if hs supports msc2290 x add js sdk support for `post matrix client r0 account 3pid bind` `post matrix client r0 account 3pid unbind` `post matrix client r0 account 3pid add` x add js sdk support for `post matrix identity v2 validate requesttoken` x implement new 3pid add flow for msc2290 servers x implement new 3pid bind flow for msc2290 servers x use ` unstable` prefix for apis,0
make sure onchain privacy group version always different signed off by stefan pingel,0
us 24 as author posts i create private friends of friends nan,1
carpools starts geojson discloses real address from long lat coordinates carpools starts geojson discloses real address location using longitude latitude ``` geometry coordinates 76 989036 38 902598 type point id properties driver gender self describe from place new test approximate location false leave time 2017 10 20t09 00 00+00 00 leave time human fri oct 20 2017 at 9 00 am return time 2017 10 25t09 00 00+00 00 return time human wed oct 25 2017 at 9 00 am seats available 7 place 123 georgia avenue northwest washington dc united states type feature ``` someone could put long lat coordinates in get actual address,1
research existing libs for data minimization anonymization research existing libs for data minimization anonymization,0
private state bug invalid block 297 309 ats using single contracts succeed 298 307 308 ats using multiple contracts end up with invalid block state mismatch ``` 2021 04 28 14 51 29 884+10 00 | vert x worker thread 2 | debug | jsonrpchttpservice | json rpc request eth gettransactionreceipt 2021 04 28 14 51 30 011+10 00 | pool 8 thread 1 | debug | ibftround | received proposal message round=consensusroundidentifier sequence=214 round=0 2021 04 28 14 51 30 029+10 00 | pool 8 thread 1 | warn | mainnetblockbodyvalidator | invalid block state root mismatch expected=0x36059c0c152ecd69a19d92c9d8986c1306a63307e4befa9ceb32fcef38224271 actual=0xd6bf6eb0fa4ef33b07a691396dd60533eeadc714b4030ec0970a9497b3855b37 2021 04 28 14 51 30 030+10 00 | pool 8 thread 1 | warn | mainnetblockbodyvalidator | invalid block rlp 0xf90320f90277a07b79a5f4d6cb42658ecb843f1b90a2f159e67afe7f63cec697fdd1bb454f8e25a01dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d4934794545bbfad3764a1ca38 e095fbc76bcbfb02bb70e3a036059c0c152ecd69a19d92c9d8986c1306a63307e4befa9ceb32fcef38224271a0c6e4bfbeed9c706f34239d63a939ba5af20c2a962f53c7e88fa140bd37724ae0a0b64408da6b8fe39ab764af88ece1e8cca1c35fd988db57806e99138c629365a0b901000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181d684ffffff0080846088e9d2b880f87ea00000000000000000000000000000000000000000 000000000000000000000000f85494068b5905cc03cba91efb5289fced160d98e75108940f8b0ab1c6e605d3e4558bca571e3b3f4e7e5ae794545bbfad3764a1ca38e095fbc76bcbfb02bb70e394e5f20844e7071ca28198a48de5375583e07e3d33808400000000c0a063746963616c2062797a616e74696e65206661756c7420746f6c6572616e 6365880000000000000000f8a3f8a10a808347b7609480bd481146703bb1ddb67a8184c34c84ee91f9df80b840c71fc33f39d19cf50c85f08246808c7b08a580313fb48567066fc6541855e3147401a4a618a6aa25835e62c30eb93ab6fd8cd7343b1207c4374c784b6f6f4b1725a0b5474018126a3705e24023ca494f9f505fe96dca743bb524a1 849d61741b1893a00606c50afc6a8570416c207afde4e778c898d5f49566e1e0cf641b21c7fa9bc4c0 2021 04 28 14 51 30 034+10 00 | pool 8 thread 1 | warn | mainnetblockbodyvalidator | transaction receipt found in invalid block transactionreceipt stateroot=null cumulativegasused=0 logs= bloomfilter=0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 status=1 transactionreceipttype=status 2021 04 28 14 51 30 034+10 00 | pool 8 thread 1 | info | messagevalidator | invalid proposal message block did not pass validation ```,0
privacy policy description,0
add priv filter methods as user i want able subscribe logs for events from private transactions acceptance criteria implement priv equivalents for eth newfilter eth newblockfilter eth newpendingtransactionfilter eth uninstallfilter eth getfilterchanges eth getlogs input for each call same as for eth inputs + privacy group id result of each call same as for eth call for events caller has access comments from original ji ivaylo kirilov may 13 2019 implementing these allow dapps efficiently poll for events emitted by private smart contracts not focus right now madeline murray added comment 05 dec 19 12 12 am need think about whether all of these make sense in private context eg newblockfilter,1
when user successfully logs in firebase service important ensure only their own data accessible done through use of authenticated user identification which links data specific user account by tying data verified user account privacy measures are implemented prevent unauthorized access personal information feature enhances overall security of system reaffirms its commitment user confidentiality,1
turn off googles floc update header files by adding permissions policy interest cohort= parameter disable googles federated learning of cohorts floc feature refer additional information such as examples ensure proper implementation of modification,1
ability disconnect from identity server by pressing buttons in user settings riot web issue has screenshot,0
upon logging out both localstorage indexeddbs are cleared but sessionstorage containing plaintext messages remains in browser causing potential leaks of conversations on shared computers would beneficial include sessionstorage in deletion process upon logout prevent any sensitive information from being compromised,1
feature hide more information from private profile currently only personal information hidden also consider hiding your activity on omegaup participated contests submissions attempted problems badges etc,1
allow users delete their own comments allow namespace administrators moderate delete comments in their ns as title implies there doesnt seem any functionality implemented delete comments closer thing comment anonymization when user deletes their account would good improvement allow users delete their own comments namespace admins do same for all users in their namespace aside from self moderation capability would also make easier fix privacy issues e g if private data has been put in model comment by mistake,1
if user has disabled identity server integration on their account we should make invite user handle nicely error message okay but updating placeholder text so doesnt reference threepids validating against any threepids as soon as theyre typed nicer,0
"now members of on chain privacy groups can re added after they hav√ó¬í√""¬Ç¬",1
consider privacy first privacy centric mode for riot something like turning off typing notifications read receipts when possible etc so as not leak information other parties,1
do not include id server or access token when hs supports msc2290 cloned from for hses support msc2290 as indicated by `m separate add bind true` we need remove `id server` `id access token` from all `requesttoken` calls homeserver important ux step as otherwise we would try create token with which additionally means present terms user for service were not actually meant using,0
ac2 account management show all accounts present security question trigger when user enters management mode on home screen if user decides view all accounts security question asked functionality if answered correctly all accounts are shown if answered incorrectly default duress archived accounts are shown archived accounts should show in different format as they generally with zero value nothing can done for them for all accounts now showing same management options apply ui see 3 accounts at once how do we expose any additional accounts hide archived accounts they cannot reinstated app maintains state default duress or hidden for whole session unless logged back in when shows default accounts,0
"re adding member onchain privacy group doesnt work description when adding member onchain privacy second time rehydration doesnt happen member ends up out of sync with privacy group acceptance criteria member can added removed multiple times from onchain privacy group √ó¬í√""¬Ç¬",1
implement bip 47 payment codes bip 47 payment codes are huge step forward for bitcoin economy please implement feature like samurai wallet did so mycelium users can enjoy important feature too,0
we should make clear in ui device names are publicly readable just needs little bit of microcopy same goes for riot ios riot android,1
update labeled as issue 8371 improvements for picture permissions aims resolve problem related picture permissions provide workaround for issue of red circles according issue 8371 some photos have null permission fields leading permission functions being unable modify permissions has been resolved by enabling permissions modified even on photos with null permissions additionally update addresses main issue with red circles which several systems cannot handle non public pictures without authentication rather than blaming other systems update introduces new option enables photos fetched without authentication but still kept hidden from users without permission users now have ability decide whether level of protection suffices although meant adding new option update was necessary,1
use more contextual prompt for integration manager polices on use as of we show generic terms modal flow on use of im but its bit removed for whatever action you were trying perform improved approach would more contextual version from designs 2019 07 26 at 10 42,0
please cite appropriate controls from ul family of controls from nist sp 800 53r4 organization name n if individual cms organization type 1 document 63 3 63a 63b or 63c 800 63a reference include section paragraph number section 8 3 use limitation para 1 comment include rationale for comment please cite appropriate controls from ul family of controls from nist sp 800 53r4 suggested change organization type 1 = federal 2 = industry 3 = academia 4 = self 5 = other,0
allow user optionally define their overall coin profile by toggling individual tiers there lot of discussion about enabling high tiers for businesses whales i think proposal provide good ux for whales as well as all other types of users toggle able tiers shuffle client provides toggle able tiers with sane default most users never need touch whales can expand their envelope up by enabling higher tiers users unwilling mix coins bigger than `x` can disable all tiers over their limit `x` could vary wildly depending on wealth risk tolerance users dont want grind below `y` can disable low tiers etc immediate benefit should resolve all specific concerns i have heard so far want higher tiers dont want lower tiers shuffling must uncomplicated unsurprising for user who never touches settings future shuffle up benefit when shuffle up implemented profile becomes even more useful becomes declaration of what kind of coins you want client can shuffle up down meet future preset profiles benefit questionable but possible in future if all of above works well some apps use preset profiles cover specific target group for example default miner enable higher tiers disable lower ones conservative nothing over `x` every day im shuffling all tiers fiat oriented your tier window shifts depending on market price custom whatever makes sense based on actual usage,0
request new password requests should expire from release plan spreadsheet no additional notes were included estimate from release plan tbd expressing interest none depends on rest ticket,0
go quorum enclave add enclave uses tessera send receive private transactions implementation supports functionality necessary for besu privacy mode compatible with goquorum standard privacy,0
credentials should not autofilled by default description saved credentials are auto populated steps reproduce 1 navigate github com 2 login github com save credentials 3 logout navigate github com login 4 credentials populated by default actual result credentials are populated by default expected result require user interaction populate credentials reproduces how often easily reproduced intermittent issue always brave version development commit 60a82d37c7987162971f1d23bf5a8639131a27b5 device details simulator iphone xs ios 12 1,1
no privacy notice we need one,0
now possible re add members on chain privacy groups once they have been previously removed as per fix 455 improvement has been verified by acceptance test approved by stefan pingel,1
we should have way display list of all messages we sent since beginning of times your suggestion related problem please describe several countries make legal obligation for service providers let users find out exactly what data stored from them matrix already offers apis for i e sync with filters but theres no ux for purpose consequently only way for end users get information currently get in touch with their homeserver admin i believe we should add ux for describe solution youd like one possibility somewhere in our privacy tab we should have entry e g see all my messages opens pseudo room see all messages we have sent since beginning of time loaded lazily with ability edit remove them as usual,0
use of activitypubs sharedinbox for private deliveries can lead privacy leaks expected behavior posts addressed lists circles or aspects with only one member should delivered only member however actual behavior privacy can compromised through sharedinbox interface delivering all followers of post creator on remote site reproduce problem simply send post list circle or aspect with one member but where there are other followers on site private post delivered those other followers issue may specific certain platforms such as zap as noted in discussion default behavior for sharedinbox endpoint deliver public inbox if addressed there or all followers some projects have attempted individual deliveries but have not dealt with bcc bugs theyve introduced workable solution would deliver private posts only private inboxes of recipients however would require handling bcc case specially recipient system wouldnt have knowledge of bcc recipients unless was c2s transaction,1
add best effort check for orion version during startup description from besu 1 5 use private transactions required use orion 1 6+ version with introduction of ` version` endpoint in orion we can add extra check during besu startup check if orion has got minimum version however because isnt requirement orion up running at besu startup should best effort check if we cant communicate with orion during startup we shouldnt in any matter impact besu startup acceptance criteria when starting besu 1 5+ if orion online available but doesnt have ` version` endpoint pre 1 6 version we print warn log message about when starting besu 1 5+ if orion offline besu print warn log msg about not being able communicate with orion when starting besu 1 5+ if orion online available has ` version` endpoint post 1 6 version we print info log message about successfully talking orion what version we are talking,0
rotating user agent i would like propose rotating user agent in electronmail partially mitigate potential accounts association in worst case scenarios,0
issue of properly managing private public nonces in private transactions was brought light on 571 because private transactions have their own nonces relative sender accounts within privacy group while pmts have their own nonces relative account creating them as result process can become complicated with potential for errors for instance if account x has private nonce of 0 public nonce of 0 user sends privtx1 with sender x nonce 0 privtx2 with sender x nonce 1 second pmt may fail created because first one may not yet in transaction pool additionally there possibility pmt1 could execute in wrong order causing fail address team has found workaround by using privatedistributerawtransaction ethsendrawtransaction manage nonces however method can challenging would ideal find simpler alternative following example demonstrates how use web3js eea achieve,1
as user i want toggle kill switch description implement rule forces system send all network traffic over tunnel,0
review update sample conf `src main resources sample conf` should either contain all configuration options or state its subset eg `knownnodestorage` not currently included,0
presentation orion tessera description create presentation gives overview of what needs done enable us replace orion with tessera,0
flaky test net consensys orion network persistentnetworknodestest flaky test net consensys orion network persistentnetworknodestest testtwoinstancesinsequence,0
coordinates no coordinates indicator on upload screen when my camera takes picture there small globe indicating whether i currently have gps fix or not would great if such indicator was present on upload screen too cases where would useful i took 10 pictures of building when i start writing title i realize gps info not available so i choose another of 10 picture with gps info when taking 10 pictures very often some picture have gps info some not i take picture of rare 17th century book i have at home when i start writing title i realize gps info has been recorded so i go back pass picture through scrambled exif before sharing commons app,0
us 31 as server admin i can disable node node interfaces for connections are not authenticated nan,0
hackerone 992204 indexeddb,0
